date,white_1,white_2,white_3,white_4,white_5,powerball
"Saturday, 1/25/25",8,15,17,53,66,14
"Wednesday, 1/22/25",5,6,27,40,49,5
"Monday, 1/20/25",15,16,32,47,54,6
"Saturday, 1/18/25",14,31,35,64,69,23
"Wednesday, 1/15/25",8,41,52,53,58,7
"Monday, 1/13/25",4,6,16,39,66,9
"Saturday, 1/11/25",3,6,32,37,65,4
"Wednesday, 1/8/25",1,20,36,38,43,24
"Monday, 1/6/25",17,34,46,66,67,14
"Saturday, 1/4/25",26,32,43,54,56,24
"Wednesday, 1/1/25",6,12,28,35,66,26
"Monday, 12/30/24",9,19,33,38,39,1
"Saturday, 12/28/24",6,31,51,54,55,12
"Wednesday, 12/25/24",15,26,27,30,35,3
"Monday, 12/23/24",22,42,44,57,64,18
"Saturday, 12/21/24",1,12,17,21,58,1
"Wednesday, 12/18/24",6,15,18,33,49,7
"Monday, 12/16/24",9,30,33,57,61,17
"Saturday, 12/14/24",12,17,23,52,67,1
"Wednesday, 12/11/24",13,44,50,52,54,20
"Monday, 12/9/24",35,37,40,45,51,24
"Saturday, 12/7/24",1,31,43,55,57,22
"Wednesday, 12/4/24",1,23,25,28,61,13
"Monday, 12/2/24",3,9,26,61,67,13
"Saturday, 11/30/24",4,24,29,39,63,25
"Wednesday, 11/27/24",1,6,7,13,40,5
"Monday, 11/25/24",5,35,45,60,63,12
"Saturday, 11/23/24",12,13,34,44,67,8
"Wednesday, 11/20/24",16,30,60,62,64,25
"Monday, 11/18/24",27,31,41,52,69,26
"Saturday, 11/16/24",21,22,25,32,38,16
"Wednesday, 11/13/24",9,20,26,43,58,9
"Monday, 11/11/24",3,21,24,34,46,9
"Saturday, 11/9/24",11,24,50,56,66,16
"Wednesday, 11/6/24",12,17,37,58,62,4
"Monday, 11/4/24",6,18,33,48,53,21
"Saturday, 11/2/24",10,45,48,58,61,2
"Wednesday, 10/30/24",13,22,29,43,58,22
"Monday, 10/28/24",21,27,32,48,67,17
"Saturday, 10/26/24",8,12,40,45,51,15
"Wednesday, 10/23/24",2,15,27,29,39,20
"Monday, 10/21/24",1,25,57,62,64,15
"Saturday, 10/19/24",7,16,19,45,64,25
"Wednesday, 10/16/24",4,30,39,44,60,11
"Monday, 10/14/24",14,18,33,64,67,14
"Saturday, 10/12/24",5,14,20,41,57,6
"Wednesday, 10/9/24",25,32,43,53,66,10
"Monday, 10/7/24",18,30,31,52,63,22
"Saturday, 10/5/24",2,12,46,52,65,3
"Wednesday, 10/2/24",1,2,21,37,43,21
"Monday, 9/30/24",9,11,30,43,69,20
"Saturday, 9/28/24",3,11,13,24,39,22
"Wednesday, 9/25/24",2,26,45,46,52,21
"Monday, 9/23/24",15,21,25,37,45,19
"Saturday, 9/21/24",17,19,21,37,45,14
"Wednesday, 9/18/24",1,11,22,47,68,7
"Monday, 9/16/24",8,9,11,27,31,17
"Saturday, 9/14/24",29,34,38,48,56,16
"Wednesday, 9/11/24",10,12,55,65,67,3
"Monday, 9/9/24",1,16,21,47,60,5
"Saturday, 9/7/24",14,34,37,55,63,20
"Wednesday, 9/4/24",7,10,21,33,59,20
"Monday, 9/2/24",8,42,46,48,53,22
"Saturday, 8/31/24",4,34,35,38,69,19
